"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","2,246,566","±18,109","350,735","±6,026","3,512,745","±22,247","1,373,335","±14,450","18,710,480","±50,670","3,135,701","±15,889","1,794,978","±15,542","494,632","±10,385","744,638","±14,244","10,946,197","±43,803","5,352,343","±27,218","695,623","±7,925","917,260","±10,015","6,260,555","±28,060","3,267,538","±19,792","1,631,239","±11,869","1,486,786","±13,999","2,071,569","±17,861","2,040,595","±18,671","683,309","±8,584","2,960,253","±23,132","3,770,689","±21,998","4,721,084","±20,480","2,985,847","±14,494","1,231,059","±14,696","3,071,881","±19,964","553,858","±6,466","1,034,184","±9,729","1,571,866","±14,741","712,036","±10,635","4,373,478","±25,249","937,461","±13,532","9,889,570","±36,136","5,315,663","±23,708","442,630","±7,482","5,727,206","±27,348","1,833,926","±12,069","2,110,136","±14,551","6,261,424","±31,728","523,532","±9,782","2,491,068","±21,641","476,677","±7,150","3,514,491","±17,292","15,012,933","±46,893","1,761,410","±12,671","330,245","±5,095","4,381,141","±22,495","3,854,442","±22,143","736,793","±9,818","3,005,245","±16,068","296,808","±6,021","1,183,178","±16,731"
"    No vehicle available","48,537","±5,454","18,648","±2,208","102,312","±9,690","36,830","±4,534","708,667","±19,683","86,720","±7,347","71,822","±7,062","15,223","±3,013","116,477","±6,719","345,397","±17,729","159,732","±10,194","25,433","±2,992","18,848","±3,506","391,731","±14,787","109,363","±8,900","43,512","±4,545","31,623","±4,685","64,700","±6,483","71,679","±6,789","14,336","±2,555","133,392","±10,351","236,002","±11,470","138,769","±8,265","92,234","±7,357","37,141","±5,172","95,287","±6,782","13,688","±2,226","23,698","±2,520","54,754","±6,720","17,017","±2,543","277,733","±13,899","19,032","±3,254","2,218,242","±34,762","141,482","±9,780","16,618","±3,393","201,267","±9,901","43,985","±3,828","71,919","±6,932","350,707","±16,485","16,127","±3,115","64,039","±5,511","8,641","±1,618","88,448","±6,994","421,468","±18,413","42,388","±5,145","7,960","±1,962","135,151","±9,013","162,382","±8,326","23,412","±3,461","97,957","±7,544","6,118","±1,535","27,839","±4,066"
"    1 vehicle available","415,412","±13,019","75,105","±4,879","740,572","±21,274","276,985","±11,561","3,601,882","±43,596","628,198","±14,462","373,756","±14,267","98,647","±6,520","256,842","±10,730","2,530,975","±43,327","1,137,466","±24,951","153,314","±7,032","130,257","±7,820","1,530,387","±26,723","645,881","±14,813","297,935","±10,050","269,209","±9,656","403,348","±11,920","503,050","±14,501","139,874","±7,790","655,580","±18,811","934,150","±21,113","1,018,529","±20,329","570,980","±13,321","248,109","±9,600","625,660","±12,938","87,740","±5,416","183,903","±6,410","356,960","±13,819","121,137","±7,316","1,012,845","±23,738","186,436","±8,923","2,698,139","±39,395","1,072,161","±22,132","90,148","±6,053","1,175,138","±19,406","372,883","±8,610","445,766","±12,489","1,453,099","±23,430","121,399","±7,734","495,609","±15,907","82,299","±5,269","659,091","±16,446","3,228,825","±36,808","251,521","±10,667","67,986","±4,913","890,392","±22,051","797,568","±18,707","153,363","±7,549","603,157","±12,974","50,126","±4,151","278,440","±11,008"
"    2 vehicles available","865,110","±21,339","136,580","±8,222","1,374,147","±27,797","583,526","±14,757","6,935,029","±62,379","1,278,162","±22,012","748,560","±16,314","211,962","±8,216","226,330","±9,682","4,699,691","±53,485","2,111,529","±30,470","224,471","±9,138","341,039","±10,442","2,406,247","±27,469","1,326,843","±22,262","650,703","±15,063","593,307","±14,217","850,118","±18,405","863,867","±19,905","312,243","±10,292","1,138,495","±20,700","1,537,529","±26,064","1,996,086","±27,616","1,266,186","±20,028","452,430","±14,108","1,243,307","±23,193","200,169","±7,700","413,887","±11,151","601,529","±17,305","306,569","±11,615","1,692,975","±28,176","349,732","±14,117","2,973,543","±38,400","2,155,443","±30,454","172,935","±8,538","2,377,757","±30,151","733,742","±11,420","818,506","±20,067","2,524,053","±30,659","212,242","±10,613","1,014,337","±23,632","188,037","±8,155","1,402,535","±24,523","6,158,741","±56,209","630,755","±17,725","161,279","±6,479","1,721,992","±28,887","1,472,228","±24,629","314,027","±11,197","1,295,117","±17,347","98,922","±6,419","475,168","±17,210"
"    3 or more vehicles available","917,507","±18,482","120,402","±6,639","1,295,714","±26,076","475,994","±15,959","7,464,902","±60,358","1,142,621","±25,633","600,840","±16,028","168,800","±9,801","144,989","±8,390","3,370,134","±53,993","1,943,616","±31,259","292,405","±9,892","427,116","±10,699","1,932,190","±31,151","1,185,451","±22,435","639,089","±12,584","592,647","±14,385","753,403","±17,835","601,999","±19,099","216,856","±8,636","1,032,786","±22,302","1,063,008","±21,868","1,567,700","±23,051","1,056,447","±18,842","493,379","±14,514","1,107,627","±20,333","252,261","±9,895","412,696","±11,124","558,623","±19,648","267,313","±9,227","1,389,925","±24,642","382,261","±15,816","1,999,646","±32,267","1,946,577","±31,573","162,929","±7,617","1,973,044","±29,297","683,316","±15,866","773,945","±15,985","1,933,565","±24,751","173,764","±9,973","917,083","±19,501","197,700","±6,548","1,364,417","±26,663","5,203,899","±63,027","836,746","±19,237","93,020","±5,924","1,633,606","±24,339","1,422,264","±26,901","245,991","±9,408","1,009,014","±18,623","141,642","±6,508","401,731","±15,642"
"    Car, truck, or van - drove alone:","1,821,659","±19,472","240,796","±6,031","2,379,880","±27,958","1,079,438","±12,974","12,679,282","±50,858","2,060,708","±20,292","1,288,603","±17,151","362,234","±11,453","324,232","±10,041","7,590,819","±49,341","3,841,290","±24,477","460,177","±8,647","671,732","±9,773","4,151,550","±32,985","2,516,822","±18,442","1,254,646","±15,158","1,140,445","±13,237","1,590,655","±19,645","1,607,034","±18,504","488,293","±7,989","1,994,889","±22,481","2,384,457","±22,426","3,584,355","±24,906","2,126,954","±17,002","1,001,261","±14,766","2,316,405","±21,893","398,129","±7,596","792,496","±11,190","1,102,310","±17,685","510,867","±10,220","2,945,545","±25,594","693,119","±12,139","4,724,738","±30,658","3,849,778","±28,741","346,153","±8,204","4,337,822","±30,522","1,415,265","±11,672","1,394,352","±16,102","4,315,519","±32,121","381,168","±9,537","1,879,121","±21,009","375,325","±6,611","2,654,292","±20,552","10,821,762","±62,443","1,199,454","±14,117","227,478","±5,482","3,069,024","±19,904","2,517,012","±24,080","571,879","±9,997","2,263,060","±17,001","216,659","±6,457","984,461","±16,446"
"        No vehicle available","27,060","±4,089","3,904","±1,202","42,433","±6,063","18,472","±3,374","244,294","±10,571","34,485","±3,648","24,926","±4,160","6,207","±2,155","6,363","±1,812","130,105","±9,391","62,735","±6,012","6,393","±1,519","11,881","±2,374","83,208","±6,138","40,501","±4,938","16,779","±2,566","15,557","±2,659","22,594","±3,625","26,842","±3,711","5,060","±1,409","39,768","±4,592","46,527","±4,985","61,230","±5,385","35,307","±4,268","21,548","±3,901","36,328","±3,994","7,267","±1,453","10,291","±1,781","15,091","±2,648","8,663","±2,024","70,515","±6,633","8,853","±2,043","164,244","±8,925","60,867","±6,165","6,878","±2,215","73,880","±7,111","16,951","±2,434","22,336","±3,810","80,839","±6,984","4,532","±1,258","26,298","±3,495","3,210","±805","39,264","±4,262","161,670","±12,117","17,956","±3,784","3,015","±918","47,424","±4,981","50,441","±5,048","9,490","±1,946","31,354","±3,764","3,288","±1,203","10,915","±2,634"
"        1 vehicle available","323,670","±12,296","48,395","±4,137","463,733","±15,145","209,633","±10,061","2,172,437","±29,058","374,304","±11,908","257,279","±11,303","65,575","±4,883","94,723","±6,249","1,615,576","±31,873","766,300","±18,120","85,509","±4,855","90,375","±6,101","906,881","±19,085","486,467","±12,800","221,707","±8,885","203,117","±8,075","299,302","±9,237","381,423","±12,208","92,187","±5,497","415,083","±13,954","513,910","±15,776","742,965","±16,395","373,798","±10,601","196,998","±8,937","453,668","±13,051","61,089","±4,518","132,948","±5,594","236,556","±11,334","82,621","±5,169","619,741","±19,396","130,672","±7,410","1,197,227","±21,284","729,240","±18,045","69,118","±5,210","855,963","±16,053","275,163","±7,360","253,186","±10,192","927,925","±19,893","77,698","±5,630","363,969","±12,506","65,716","±4,351","482,730","±13,213","2,220,700","±31,514","156,481","±8,097","42,319","±3,420","580,444","±15,857","441,039","±12,695","112,925","±5,783","436,872","±10,785","33,623","±3,315","220,548","±8,673"
"        2 vehicles available","700,289","±19,676","99,474","±6,100","946,229","±22,814","463,622","±12,559","4,795,746","±53,116","847,277","±19,557","542,313","±13,500","159,417","±8,024","125,730","±6,573","3,324,566","±44,105","1,528,398","±28,668","156,995","±7,636","247,887","±9,433","1,703,629","±24,607","1,034,226","±17,796","506,790","±12,344","456,559","±12,329","665,068","±16,601","696,844","±15,775","227,101","±8,633","787,526","±14,894","1,027,653","±19,657","1,532,238","±24,529","913,214","±15,499","369,125","±12,885","940,635","±20,425","143,801","±6,807","322,884","±10,912","430,400","±14,458","220,441","±8,214","1,201,534","±20,775","259,801","±11,541","1,950,256","±31,647","1,561,133","±23,886","141,636","±7,426","1,832,431","±26,235","582,603","±9,588","553,505","±15,266","1,828,324","±25,123","159,594","±9,160","763,366","±19,333","150,427","±6,955","1,056,161","±20,484","4,522,315","±48,686","433,532","±12,857","113,222","±5,580","1,219,033","±21,195","995,749","±20,099","247,717","±9,822","993,815","±15,345","75,432","±5,449","406,220","±15,872"
"        3 or more vehicles available","770,640","±17,360","89,023","±5,548","927,485","±22,668","387,711","±14,015","5,466,805","±50,545","804,642","±22,262","464,085","±14,057","131,035","±7,357","97,416","±6,003","2,520,572","±44,694","1,483,857","±24,341","211,280","±8,545","321,589","±10,002","1,457,832","±25,353","955,628","±19,938","509,370","±11,069","465,212","±11,594","603,691","±16,202","501,925","±17,569","163,945","±6,994","752,512","±19,006","796,367","±19,815","1,247,922","±19,994","804,635","±17,220","413,590","±13,420","885,774","±17,736","185,972","±8,759","326,373","±10,440","420,263","±17,074","199,142","±8,417","1,053,755","±20,763","293,793","±12,971","1,413,011","±23,860","1,498,538","±26,668","128,521","±6,430","1,575,548","±26,959","540,548","±13,236","565,325","±13,548","1,478,431","±21,489","139,344","±8,319","725,488","±16,631","155,972","±5,366","1,076,137","±23,611","3,917,077","±55,178","591,485","±15,232","68,922","±4,631","1,222,123","±20,886","1,029,783","±22,117","201,747","±8,570","801,019","±15,463","104,316","±5,714","346,778","±13,341"
